15
Ред_Дед_Редемшен_2 2999 7234768 457813 Рокстар 2018-10-26
Халф_Лайф_2 2999 4587960 567823 Валв 2004-11-16
Киберпанк_2077 1999 8567439 234567 СДпроджектред 2020-12-10
Судьба_2 2499 6250000 1064650 Банджи 2017-09-06
Алан_Вейк_Ремастеред 1399 4567321 456782 Ремади 2021-10-05
Алан_Вейк_2 1999 2456982 756781 Ремади 2023-10-27
Контрол 1699 4255340 945010 Ремади 2019-08-27
Сабнатика 1349 3200456 465670 Неизвестно 2014-12-14
ДОТА_2 1249 7067843 299864 Валв 2013-07-09
КС_2 1899 9542325 564563 Валв 2023-09-27
Фортнайт 1599 15890456 388931 эпик 2017-07-21
ПАБГ 1999 13904565 270568 пубг 2017-03-23
Гостраннер 1769 3256780 567219 505-геймс 2020-10-27
Баталфилд_2042 4999 2574560 790678 ДАЙС 2021-11-19
Кол_Оф_Дьюти_Модерн_Варфэйр_3 6999 11789088 179345 Активижон 2023-11-10
